"id","answer"
-1,"Register"
0,"Health"
1,"Industry"
2,"Economy"
3,"High tech"
4,"Transport"
5,"Education"
6,"Local"
7,"Global"
8,"Afghanistan"
9,"Albania"
10,"Algeria"
11,"American Samoa"
12,"Andorra"
13,"Angola"
14,"Anguilla"
15,"Antarctica"
16,"Antigua and Barbuda"
17,"Argentina"
18,"Armenia"
19,"Belgium"
20,"Belize"
21,"Benin"
22,"Bermuda"
23,"Bhutan"
24,"Bolivia (Plurinational State of)"
25,"Bonaire, Sint Eustatius and Saba"
26,"Bosnia and Herzegovina"
27,"Botswana"
28,"Bouvet Island"
29,"Brazil"
30,"British Indian Ocean Territory (the)"
31,"Brunei Darussalam"
32,"Bulgaria"
33,"Burkina Faso"
34,"Burundi"
35,"Cabo Verde"
36,"Cambodia"
37,"Cameroon"
38,"Canada"
39,"Cayman Islands (the)"
40,"Central African Republic (the)"
41,"Chad"
42,"Chile"
43,"China"
44,"Christmas Island"
45,"Cocos (Keeling) Islands (the)"
46,"Colombia"
47,"Comoros (the)"
48,"Congo (the Democratic Republic of the)"
49,"Congo (the)"
50,"Cook Islands (the)"
51,"Costa Rica"
52,"Croatia"
53,"Cuba"
54,"CuraÃƒÂ§ao"
55,"Cyprus"
56,"Czechia"
57,"CÃƒÂ´te d'Ivoire"
58,"Denmark"
59,"Djibouti"
60,"Dominica"
61,"Dominican Republic (the)"
62,"Ecuador"
63,"Egypt"
64,"El Salvador"
65,"Equatorial Guinea"
66,"Eritrea"
67,"Estonia"
68,"Eswatini"
69,"Ethiopia"
70,"Falkland Islands (the) [Malvinas]"
71,"Faroe Islands (the)"
72,"Fiji"
73,"Finland"
74,"France"
75,"French Guiana"
76,"French Polynesia"
77,"French Southern Territories (the)"
78,"Gabon"
79,"Gambia (the)"
80,"Georgia"
81,"Germany"
82,"Ghana"
83,"Gibraltar"
84,"Greece"
85,"Greenland"
86,"Grenada"
87,"Guadeloupe"
88,"Guam"
89,"Guatemala"
90,"Guernsey"
91,"Guinea"
92,"Guinea-Bissau"
93,"Guyana"
94,"Haiti"
95,"Heard Island and McDonald Islands"
96,"Holy See (the)"
97,"Honduras"
98,"Hong Kong"
99,"Hungary"
100,"Iceland"
101,"India"
102,"Indonesia"
103,"Iran (Islamic Republic of)"
104,"Iraq"
105,"Ireland"
106,"Isle of Man"
107,"Israel"
108,"Italy"
109,"Jamaica"
110,"Japan"
111,"Jersey"
112,"Jordan"
113,"Kazakhstan"
114,"Kenya"
115,"Kiribati"
116,"Korea (the Democratic People's Republic of)"
117,"Korea (the Republic of)"
118,"Kuwait"
119,"Kyrgyzstan"
120,"Lao People's Democratic Republic (the)"
121,"Latvia"
122,"Lebanon"
123,"Lesotho"
124,"Liberia"
125,"Libya"
126,"Liechtenstein"
127,"Lithuania"
128,"Luxembourg"
129,"Macao"
130,"Madagascar"
131,"Malawi"
132,"Malaysia"
133,"Maldives"
134,"Mali"
135,"Malta"
136,"Marshall Islands (the)"
137,"Martinique"
138,"Mauritania"
139,"Mauritius"
140,"Mayotte"
141,"Mexico"
142,"Micronesia (Federated States of)"
143,"Moldova (the Republic of)"
144,"Monaco"
145,"Mongolia"
146,"Montenegro"
147,"Montserrat"
148,"Morocco"
149,"Mozambique"
150,"Myanmar"
151,"Namibia"
152,"Nauru"
153,"Nepal"
154,"Netherlands (the)"
155,"New Caledonia"
156,"New Zealand"
157,"Nicaragua"
158,"Niger (the)"
159,"Nigeria"
160,"Niue"
161,"Norfolk Island"
162,"Northern Mariana Islands (the)"
163,"Norway"
164,"Oman"
165,"Pakistan"
166,"Palau"
167,"Palestine, State of"
168,"Panama"
169,"Papua New Guinea"
170,"Paraguay"
171,"Peru"
172,"Philippines (the)"
173,"Pitcairn"
174,"Poland"
175,"Portugal"
176,"Puerto Rico"
177,"Qatar"
178,"Republic of North Macedonia"
179,"Romania"
180,"Russian Federation (the)"
181,"Rwanda"
182,"RÃƒÂ©union"
183,"Saint BarthÃƒÂ©lemy"
184,"Saint Helena, Ascension and Tristan da Cunha"
185,"Saint Kitts and Nevis"
186,"Saint Lucia"
187,"Saint Martin (French part)"
188,"Saint Pierre and Miquelon"
189,"Saint Vincent and the Grenadines"
190,"Samoa"
191,"San Marino"
192,"Sao Tome and Principe"
193,"Saudi Arabia"
194,"Senegal"
195,"Serbia"
196,"Seychelles"
197,"Sierra Leone"
198,"Singapore"
199,"Sint Maarten (Dutch part)"
200,"Slovakia"
201,"Slovenia"
202,"Solomon Islands"
203,"Somalia"
204,"South Africa"
205,"South Georgia and the South Sandwich Islands"
206,"South Sudan"
207,"Spain"
208,"Sri Lanka"
209,"Sudan (the)"
210,"Suriname"
211,"Svalbard and Jan Mayen"
212,"Sweden"
213,"Switzerland"
214,"Syrian Arab Republic"
215,"Taiwan"
216,"Tajikistan"
217,"Tanzania, United Republic of"
218,"Thailand"
219,"Timor-Leste"
220,"Togo"
221,"Tokelau"
222,"Tonga"
223,"Trinidad and Tobago"
224,"Tunisia"
225,"Turkey"
226,"Turkmenistan"
227,"Turks and Caicos Islands (the)"
228,"Tuvalu"
229,"Uganda"
230,"Ukraine"
231,"United Arab Emirates (the)"
232,"United Kingdom of Great Britain and Northern Ireland (the)"
233,"United States Minor Outlying Islands (the)"
234,"United States of America (the)"
235,"Uruguay"
236,"Uzbekistan"
237,"Vanuatu"
238,"Venezuela (Bolivarian Republic of)"
239,"Viet Nam"
240,"Virgin Islands (British)"
241,"Virgin Islands (U.S.)"
242,"Wallis and Futuna"
243,"Western Sahara"
244,"Yemen"
245,"Zambia"
246,"Zimbabwe"
247,"Ãƒâ€¦land Islands"
252,"Male"
253,"Female"
254,"Other"
255,"Other"
256,"BSc"
257,"BA"
258,"Doctorate"
259,"Professor"
260,"QA"
261,"Software developer"
262,"Software engineer"
263,"Frontend"
264,"Backend"
265,"Full stack"
266,"Embedded"
267,"IT"
268,"Help desk"
269,"Team worker"
270,"Team leader"
271,"Manager"
272,"Architect"
273,"Team manager"
274,"Team Department"
275,"CFO"
276,"CTO"
277,"CEO"
278,"Board of directors"
279,"Junior"
280,"Mid"
281,"Senior"
282,"0-1"
283,"1--2"
284,"2+"
285,"0-1"
286,"1--2"
287,"2--4"
288,"4+"
289,"Emergency"
290,"Laboratory"
291,"Operating room"
292,"Pharmacy"
293,"Doctor"
294,"Nurse"
295,"Medical assistant"
296,"Surgeon"
297,"Medical secretary"
298,"Medical laboratory"
299,"0-1"
300,"1--2"
301,"2+"
302,"0-1"
303,"1--2"
304,"2--4"
305,"High"
306,"Medium"
307,"Low"
308,"Jira"
309,"Splunk"
310,"Teams"
311,"Zoom"
312,"Monday"
313,"developed in-house"
314,"purchase an off-the-shelf product"
315,"checking options"
316,"Consumer electronics"
317,"Software"
318,"Services"
319,"Hardware"
320,"Cloud computing"
321,"AI"
322,"Search engine"
323,"Online advertising"
324,"E-commerce"
325,"Artificial intelligence"
326,"Social networking"
327,"Digital advertising"
328,"Virtual reality"
329,"Pharmaceuticals"
330,"Vaccines"
331,"Healthcare products"
332,"Medical devices"
333,"Biotechnology"
334,"Generic medicines"
335,"Health insurance"
336,"Healthcare services"
337,"Investment banking"
338,"Financial services"
339,"Asset management"
340,"Securities"
341,"Investment management"
342,"Banking"
343,"Mortgages"
344,"Credit cards"
345,"Oil"
346,"Natural gas"
347,"Petrochemicals"
348,"Energy"
349,"Renewable energy"
350,"Automobiles"
351,"Trucks"
352,"Buses"
353,"Motorcycles"
354,"Electric vehicles"
355,"Solar energy"
356,"Energy storage"
357,"Retail stores"
358,"Membership-based warehouse clubs"
359,"Home improvement"
360,"Construction products"
361,"Technology"
362,"Personal care"
363,"Hygiene products"
364,"Food"
365,"Beverages"
366,"Cleaning agents"
367,"Baby food"
368,"Bottled water"
369,"Cereals"
370,"Snacks"
371,"Soft drinks"
372,"Juices"
373,"Telecommunications"
374,"Media"
375,"Mobile services"
376,"Entertainment"
377,"Media networks"
378,"Theme parks"
379,"Streaming entertainment"
380,"Film production"
381,"Television production"
382,"Broadcasting"
383,"Cable television"
384,"Internet services"
385,"Electronics"
386,"Gaming"
387,"Aerospace"
388,"Defense"
389,"Security"
390,"Cybersecurity"
